No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
10377K,FRUIT JELLY (ELEPHANT),젤리컵 (코끼리),CS,40,640,90,PENGUIN,6X1.85 LB,Dry,6
10378K,FRUIT JELLY (BUNNY),젤리컵 (토끼),CS,40,640,90,PENGUIN,6X1.85 LB,Dry,6
10380K,FRUIT JELLY (MONKEY),젤리컵 (원숭이),CS,36,640,90,PENGUIN,6X1.85 LB,Dry,6
10381K,LYCHEE FLAVOUR JELLY (ROUND),젤리컵 라운드 (리치맛),CS,0,500,90,PENGUIN,6X2.93 LB,Dry,6
10382K,MANGO FLAVOUR JELLY (ROUND),젤리컵 라운드 (망고맛),CS,0,500,90,PENGUIN,6X2.93 LB,Dry,6
10383K,FRUIT JELLY (TURTLE),젤리컵 (거북이),CS,31,640,90,PENGUIN,4X2.31 LB,Dry,4
10384K,FRUIT JELLY (DUCK),젤리컵 (오리),CS,41,640,90,PENGUIN,6X1.85 LB,Dry,6
10395K,O JELLY (GREEN GRAPE FLV_ SOFT),오 젤리 (청포도맛_ 소프트),CS,23,285,90,ORION,4X10X2.33 OZ,Dry,4
10396K,O JELLY (PEACH FLV_ SOFT),오 젤리 (복숭아맛_ 소프트),CS,32,285,90,ORION,4X10X2.33 OZ,Dry,4
10397K,O JELLY (GRAPE FLV_ SOFT),오 젤리 (포도맛_ 소프트),CS,34,285,90,ORION,4X10X2.33 OZ,Dry,4
10409V,INSTANT COFFEE MIX (3 IN 1),인스턴트 커피 믹스 (3 IN 1),CS,94,640,90,VINACAFE,20X14 OZ,Dry,20
10414K,BRONOIR BROWNIE COOKIE & CHOCOLATE CHIPS,브루느와 브라우니 쿠키,CS,38,285,90,CHEONGWOO,10X6.98 OZ,Dry,10
10415K,GRANDSHELL COOKIE (APPLE),그랑쉘사과,CS,37,220,60,CHEONGWOO,10X8.25 OZ,Dry,10
10416K,COOKIE WITH SWEET RICE CAKE,찰떡쿠키 (오리지날),CS,39,220,60,CHEONGWOO,10X9.1 OZ,Dry,10
10417K,COOKIE WITH SWEET RICE CAKE (CHESTNUT),찰떡쿠키 (밤맛),CS,32,220,60,CHEONGWOO,10X9.1 OZ,Dry,10
10418K,CHEWY CHOCOCHIP COOKIES ,쫀득초코칩,CS,36,225,60,CHEONGWOO,10X8.46 OZ,Dry,10
10419K,CHOCOLATE RICE CAKE COOKIE,초코파이 찰떡,CS,39,650,90,CHEONGWOO,10X9.1 OZ,Dry,10
10424K,ACCOUPLER STRAWBERRY,아꾸뿔레 딸기,CS,37,285,90,CHEONGWOO,12X3.5 OZ,Dry,12
10435K,COSOMI (12P),고소미 (12P),CS,50,280,90,ORION,16X7.62 OZ,Dry,16
10436K,TURTLE CHIP (SWEET VANILLA FLAVOR),꼬북칩 (스윗 바닐라맛),CS,33,160,60,ORION,14X5.65 OZ,Dry,14
10437K,TURTLE CHIPS (CHOCO CHURROS),꼬북칩 (쵸코 츄러스),CS,40,160,60,ORION,14X5.65 OZ,Dry,14
10438K,MARINE BOY BAKED SNACK (SEAWEED_ 4P),고래밥 (볶음양념맛_ 4P),CS,48,280,90,ORION,20X5.64 OZ,Dry,20
10441K,O RICE CRACKERS (NATURAL SNOW FLAVOR),오 라이스 구운 쌀과자 (달콤한 맛),CS,0,285,90,ORION,10X4.6 OZ,Dry,10
10442K,O RICE CRACKERS (SEAWEED FLAVOR),오 라이스 구운 쌀과자 (김맛),CS,0,285,90,ORION,10X3.4 OZ,Dry,10
10443K,O RICE CRACKERS (POTATO CHEESE FLAVOR),오 라이스 구운 쌀과자 (치즈감자 맛),CS,0,285,90,ORION,10X4.6 OZ,Dry,10
10444K,CHOCO MONT (12P_BOX),초코몽 (12P_BOX),CS,54,285,90,ORION,8X15.24 OZ,Dry,8
10445K,CHOCO MONT (12P_ BOX),초코몽 (12P_ BOX),CS,6.1,285,90,ORION,1X15.24 OZ,Dry,1
10446K,CHOCO MONT (2P),초코몽 (2P),CS,47,285,90,ORION,32X2X1.27 OZ,Dry,32
10447K,"O! TUBE (TOMATO KETCHUP, L)","오!감자 (토마토케찹, L)",CS,33,220,60,ORION,12X4.06 OZ,Dry,12
10448K,"O! TUBE (HONEY BUTTER, L)","오!감자 (허니버터, L)",CS,30,220,60,ORION,12X4.06 OZ,Dry,12
10449K,"O! TUBE (BARBEQUE FLAVOR, L)","오!감자 (바베큐맛, L)",CS,32,220,60,ORION,12X4.06 OZ,Dry,12
10450K,TURTLE CHIPS (FUEGO FLAVOR),꼬북칩 (푸에고 맛),CS,27,220,60,ORION,12X5.65 OZ,Dry,12
10451K,TURTLE CHIPS (SOUR CREAM & ONION ),꼬북칩 (사워크림 & 어니언),CS,34,220,60,ORION,12X5.65 OZ,Dry,12
10460K,PPANG BUJANG SALTED BUTTER ROLL,빵부장 소금빵,CS,0,280,90,NONGSHIM,16X1.94OZ,Dry,16
10461K,PPANG BUJANG CHOCOLATE FLAVORED ROLL,빵부장 소금빵,CS,0,280,90,NONGSHIM,16X1.94OZ,Dry,16
10465K,CRUNCHY RICE ROLLS,밥풀과자,CS,23,280,90,CHEONGWOO,20X3.15 OZ,Dry,20
10471K,POP CORN SNACK,사또밥,CS,20,285,90,SAMYANG,10X2.36 OZ,Dry,10
10472K,WANG CHANGGU (HONEY DIPPED SNACK),왕짱구,CS,35,285,90,SAMYANG,10X9.7 OZ,Dry,10
10473K,CHANGGU (HONEY DIPPED SNACK),짱구,CS,24,220,90,SAMYANG,12X4.06 OZ,Dry,12
10474K,BULDAK RAMEN SNACK (4P),불닭 라면스낵,CS,32,285,90,SAMYANG,6X4X3.17 OZ,Dry,6
10477T,SUPER CRISP WAVY (KIMCHI),"구운 김 스낵 (김치, 웨이비 )",CS,22,285,90,TAOKAENOI,12X0.84 OZ,Dry,12
10478T,SUPER CRISP WAVY (HOT CHILLI SQUID),구운 김 스낵 (핫 칠리 스퀴드_ 웨이비 ),CS,22,285,90,TAOKAENOI,12X0.84 OZ,Dry,12
10480K,BULDAK ORIGINAL POTATO CHIPS (L),불닭 오리지널 감자칩 (L),CS,55,190,60,SAMYANG,12X4.23 OZ,Dry,12
10481K,BULDAK QUATTRO CHEESE POTATO CHIPS (L),불닭 콰트로치즈 감자칩 (L),CS,54,190,60,SAMYANG,12X4.23 OZ,Dry,12
10482K,BULDAK HABANERO LIME POTATO CHIPS (L),불닭 하바네로라임 감자칩 (L),CS,54,190,60,SAMYANG,12X4.23 OZ,Dry,12
10496K,VLAC RICE PUNCH (16.9 OZ),비락 식혜 (16.9 OZ),CS,28,351,90,PALDO,12X16.9 OZ,Dry,12
10497K,VILAC CINNAMON PUNCH (6CAN),비락 수정과 (6캔),CS,26,640,90,PALDO,4X6X8.05 OZ,Dry,4
10498K,VILAC KOREAN TRADITIONAL RICE DRINK (6CAN),비락 식혜 (6캔),CS,25,640,90,PALDO,4X6X8.05 OZ,Dry,4
10499K,VILAC KOREAN TRADITIONAL RICE DRINK (1.5 L),비락 식혜 (1.5 L),CS,42,280,90,PALDO,8X1.5 L,Dry,8
10510J,RAMUNE FLAVORED CIDER,라무네 사이다,CS,19,285,90,CHEERIO,24X11.83 OZ,Dry,24
10511J,VITAMIN ZENKAI,비타민 전개,CS,27,285,90,CHEERIO,24X16.9 OZ,Dry,24
10515J,C.C LEMON SOFT DRINK (CAN_350ML),씨씨 레몬 드링크 (CAN_350ML),CS,36,280,90,SUNTORY,24X11.8 OZ,Dry,24
10517J,RAMUNE DRINK (COCONUT),라무네 드링크 (코코넛),CS,34,280,90,HANA,24X6.7 OZ,Dry,24
10518J,RAMUNE DRINK (LYCHEE),라무네 드링크 (리치),CS,33,280,90,HANA,24X6.7 OZ,Dry,24
10522J,RAMUNE DRINK (PLUM),라무네 드링크 (매실),CS,34,280,90,HANA,24X6.7 OZ,Dry,24
10523J,RAMUNE DRINK (PINEAPPLE),라무네 드링크 (파인애플),CS,31,280,90,HANA,24X6.7 OZ,Dry,24
10524J,RAMUNE DRINK (MELON),라무네 드링크 (멜론),CS,33,280,90,HANA,24X6.7 OZ,Dry,24
10526K,OOLONG MILK TEA,우롱 밀크티,CS,75,640,90,DAMIZLE,24X3.95 OZ,Dry,24
10527K,TARO MILK TEA,타로 밀크티,CS,71,640,90,DAMIZLE,24X3.95 OZ,Dry,24
10528K,ROASTED GRAIN MIX POWDER (40P),율무차 (호두_아몬드-40P),CS,89,640,90,ASSIXDAMIZLE,8X28.21 OZ,Dry,8
10529K,OATMEAL & 20 MULTI GRAINS POWDER STICKS (40P),오트밀 20곡 미숫곡물 쉐이크(40P),CS,83,640,90,ASSIXDAMIZLE,8X28.21 OZ,Dry,8
10530T,MANGO DRINK (1.5L),망고 드링크 (1.5L),CS,14.6,280,90,STAR,6X1.5 L,Dry,6
10532T,LITCHI FLAVOURED DRINK,리치맛 음료,CS,16,280,90,STAR,6X1.5 L,Dry,6
10533T,GUAVA DRINK,구아바 음료,CS,16,280,90,STAR,6X1.5 L,Dry,6
10534T,MIXED FRUIT DRINK,혼합 과일 음료,CS,10.5,280,90,STAR,6X1.5 L,Dry,6
10535V,COCONUT WATER (11.2 OZ),코코넛 워터 (11.2 OZ),CS,11.3,280,90,COCOXIM,12X11.2 OZ,Dry,12
10536V,COCONUT WATER (1L),코코넛 워터 (1L),CS,26,280,90,COCOXIM,12X1 L,Dry,12
10537V,ORGANIC COCONUT WATER (11.2 OZ),유기농 코코넛 워터 (11.2 OZ),CS,11.3,370,90,COCOXIM,12X11.2 OZ,Dry,12
10538V,ORGANIC COCONUT WATER (1L),유기농 코코넛 워터 (1L),CS,28,280,90,COCOXIM,12X1 L,Dry,12
10547K,CARBONATED VITA 500 DRINK (CAN),비타 500 스파클링 (캔),CS,12,280,90,KWANGDONG,4X6X8.45 OZ,Dry,4
10548K,BALLOON FLOWER HONEY & PEAR DRINK,도라지꿀배 드링크,CS,30,280,90,KWANGDONG,20X9.46 OZ,Dry,20
10549K,HALLABONG & YUZU DRINK,한라봉과 유자 드링크,CS,26,280,90,KWANGDONG,20X9.46 OZ,Dry,20
10563D,SPARKLING WATER (WHITE PEACH_ CAN),스파클링 워터 (복숭아맛_ 캔),CS,25,460,90,GENKIFOREST,4X6X11.15 OZ,Dry,4
10564D,SPARKLING WATER (LYCHEE_ CAN),스파클링 워터 (리치맛_ 캔),CS,24,460,90,GENKIFOREST,4X6X11.15 OZ,Dry,4
10565D,SPARKLING WATER (GRAPE. CAN),스파클링 워터 (포도맛_캔),CS,25,460,90,GENKIFOREST,4X6X11.15 OZ,Dry,4
10566D,SPARKLING WATER(WHITE STRAWBERRY COCONUT_CAN),스파클링 워터 (화이트 딸기 코코넛맛_ 캔),CS,25,460,90,GENKIFOREST,4X6X11.15 OZ,Dry,4
10567K,TRIPLE BREW AMERICANO,트리플 브루 아메리카노,CS,29,285,90,EDIYA,24X16.9 OZ,Dry,24
10568K,TRIPLE BREW SWEET AMERICANO,트리플 브루 스윗 아메리카노,CS,29,285,90,EDIYA,24X16.9 OZ,Dry,24
10569K,TRIPLE BREW VANILLA LATTE,트리플 브루 바닐라 라떼,CS,28,285,90,EDIYA,24X16.9 OZ,Dry,24
10570K,ICED AMERICANO (100T),아이스 아메리카노 (100T),CS,54,460,90,EDIYA,6X3.53 OZ,Dry,6
10571K,SPECIAL AROMA BLEND HAZELNUT COFFEE MIX (100T),스페셜 아로마 블렌드 헤이즐넛향 커피믹스 (100T),CS,47,460,90,EDIYA,4X40.6 OZ,Dry,4
10579K,KOREAN MINI YAKGWA COOKIE(APPLE CINNAMON),미니 약과 (애플 시네몬),CS,25,280,90,SAMLIP,20X7.05 OZ,Dry,20
10583K,HONEY GINGER TEA,꿀먹은 생강차,CS,0,690,90,ASSI,15X1.2 LB,Dry,15
10586K,HONEY CITRON TEA,꿀먹은 유자차,CS,0,690,90,ASSI,15X1.2 LB,Dry,15
10590K,COCO GRAPE (GIFT),코코 포도 (선물용),CS,76,640,90,LOTTE,6X12X8 OZ,Dry,6
10592K,COOLPIS DRINK (PEACH FLAVOR),쿨피스 드링크,CS,28,280,90,DONGWON,12X1.5 L,Dry,12
