No.,Description,Description 2,Base Unit of Measure,Unit Price,Days to Expire,Days to Sell,Brand,Size Description,Storage Type,Sales to Retail Conv. Factor
48252K,SEASONED POLLACK ROE (KOREA),한국산 조미 명란젓,CS,0,680,90,UNBRANDED,22 LB,Frz,1
48253K,SEASONED SEAWEED (8#),파래 무침 (8#),CS,0,680,90,YISSINE,2X8 LB,Frz,2
50001L,PEANUT SAUCE,피넛 소스,CS,42,640,90,LKK,12X8 OZ,Dry,12
50007L,PREMIUM SOY SAUCE,프리미엄 소이 소스,CS,45,460,90,LKK,5 GAL,Dry,1
50022L,CHEFS SELECT SOY SAUCE (JAPANESE STYLE),쉐프스 셀렉트 소이 소스 (일본식),CS,30,280,90,LKK,5 GAL,Dry,1
50031K,CHICKEN TERIYAKI SAUCE,치킨 테리야키 소스,CS,87,640,90,BAPSANG,44 LB,Dry,1
50072L,SWEET SOY SAUCE,스윗 소이 소스,CS,59,640,90,ABC,12X20.28 OZ,Dry,12
50074L,SWEET SOY SAUCE,스윗 소이 소스,CS,59,640,90,ABC,12X20.9 OZ,Dry,12
50524P,SOY SAUCE,간장,CS,32,640,90,DATUPUTI,12 X 25.36 OZ,Dry,12
50560K,CHAL GOCHUJANG GOLD (37.5#),찰 고추장 골드 (37.5#),CS,101,460,90,OFOOD,37.5 LB,Dry,1
50561L,RICE STICK (BUN TUOI DAC BIET #802),쌀국수 (BUN TUOI DAC BIET #802),CS,143,640,90,OLDMANQUEHUONG,30X2 LB,Dry,30
50602L,RICE FLOUR,쌀가루,CS,30,640,90,ERAWAN,24X16 OZ,Dry,24
50603L,GLUTINOUS RICE FLOUR,찹쌀가루,CS,33,640,90,ERAWAN,24X16 OZ,Dry,24
50604L,TAPIOCA STARCH,타피오카가루,CS,30,640,90,ERAWAN,24X16 OZ,Dry,24
50710L,FERMENTED BEAN CURD W/SESAME OIL,두부 (참기름),CS,72,280,90,HRS,24X10.5 OZ,Dry,24
51001L,YAN YAN (CHOCOLATE),얀얀 초콜릿,CS,123,330,90,MEIJI,8X10X2 OZ,Dry,80
51002L,YAN YAN (STRAWBERRY),얀얀 딸기,CS,123,330,90,MEIJI,8X10X2 OZ,Dry,80
51003L,YAN YAN (VANILLA),얀얀 바닐라,CS,114,330,90,MEIJI,8X10X2 OZ,Dry,8
51004L,SKYFLAKES CRACKERS,스카이후레익스 크래커,CS,52,280,90,MYSAN,8X28.21 OZ,Dry,8
51009L,SUNFLOWER SEED (SPICED),해바라기씨 (SPICED),CS,51,280,90,CHACHA,18X8.82 OZ,Dry,18
51010L,WAFERS (STRAWBERRY),딸기맛 웨하스,CS,43,280,90,GARDEN,24X7 OZ,Dry,24
51011L,WAFERS (CHOCOLATE),초콜릿 웨하스,CS,43,280,90,GARDEN,24X7 OZ,Dry,24
51012L,WAFERS (VANILLA),바닐라 웨하스,CS,43,280,90,GARDEN,24X7 OZ,Dry,24
51013L,WAFERS (DURIAN),두리안 웨하스,CS,48,280,90,GARDEN,24X7 OZ,Dry,24
51014L,WAFER (CAPPUCCINO),카푸치노 웨하스,CS,43,280,90,GARDEN,24X7 OZ,Dry,24
51015L,SENBEI,센베이,CS,30,280,90,WANTWANT,20X3.95 OZ,Dry,20
51016L,SHELLY SENBEI,설 센베이,CS,39,280,90,WANTWANT,20X4.3 OZ,Dry,20
51017L,ITALIAN APRICOT GLAZED PUFF PASTRY,이태리 퍼프 페이스트리 (살구),CS,36,280,90,FORRELLI,20X7 OZ,Dry,20
51018L,ITALIAN SUGAR TOPPED PUFF PASTRY,이태리 퍼프 페이스트리 (설탕),CS,37,280,90,FORRELLI,20X7 OZ,Dry,20
51025L,CALAMANSI DRINK,칼라만지 드링크,CS,42,280,90,GINA,30X8.5 OZ,Dry,30
51026L,MANGO NECTAR,망고 넥타,CS,44,280,90,GINA,30X8 OZ,Dry,30
51029L,MUSHROOM SEASONING,버섯 다시다,CS,101,1000,90,LOTUS,12X17.6 OZ,Dry,12
51031L,CONDENSED MILK (PARROT),연유,CS,64,690,90,PARROT,24X14 OZ,Dry,24
51033L,CONDENSED MILK (LONGEVITY),연유,CS,85,690,90,LONGEVITY,24X14 OZ,Dry,24
51035L,COFFEE,커피,CS,181,690,90,CAFEDUMONDE,24X15 OZ,Dry,24
51037L,SHRIMP CHIP (ORIGINAL),쉬림프 칩 (오리지널),CS,55,150,30,MARCOPOLO,24X2.5 OZ,Dry,24
51038L,SHRIMP CHIP (B.B.Q.),쉬림프 칩 (바베큐맛),CS,54,150,30,MARCOPOLO,24X2.5 OZ,Dry,24
51040L,SHRIMP CHIP (ONION&GARLIC),쉬림프 칩 (양파&마늘맛),CS,53,150,30,MARCOPOLO,24X2.5 OZ,Dry,24
51041L,COFFEE MILK BISCUIT,커피맛  비스킷,CS,45,280,90,PARROT,24X7 OZ,Dry,24
51042L,WAFERS (COCONUT),코코넛 웨하스,CS,43,280,90,GARDEN,24X7 OZ,Dry,24
51043L,SUNFLOWER SEED (NATURAL),해바라기씨 (NATURAL),CS,50,280,90,CHACHA,18X8.82 OZ,Dry,18
51044L,BUTTER COCONUT BISCUIT,버터 코코넛 비스킷,CS,51,280,90,PARROT,24X7 OZ,Dry,24
51072L,SPICY PEANUT,매운 땅콩,CS,66,280,90,HUANGFEIHONG,30X3.88 OZ,Dry,30
51078L,GINGER HONEY CRYSTALS (30P),생강 꿀차 (30P),CS,222,1000,90,PRINCEOFPEACE,30X18.9 OZ,Dry,30
51079L,GINGER HONEY CRYSTALS (10P),생강 꿀차 (10P),CS,110,1000,90,PRINCEOFPEACE,36X6.3 OZ,Dry,36
51080L,GINGER CHEWS,생강 캔디,CS,60,640,90,PRINCEOFPEACE,40X4 OZ,Dry,40
51081L,GINGER CHEWS (4 OZ_ORIGINAL),생강캔디 (4 OZ_ORIGINAL),CS,20,700,90,PRINCEOFPEACE,12X4 OZ,Dry,12
52002L,LYCHEE DRINK,리치 드링크,CS,20,640,90,YEOS,24X10.1 OZ,Dry,24
52003L,ICE GREEN TEA DRINK,아이스 그린티,CS,22,640,90,YEOS,24X10.1 OZ,Dry,24
52004L,CHRYSANTHEMUM TEA DRINK,국화차 드링크,CS,22,640,90,YEOS,24X10.1 OZ,Dry,24
52005L,SUGARCANE DRINK,사탕수수 드링크,CS,22,640,90,YEOS,24X10.1 OZ,Dry,24
52006L,SOY MILK (VIETNAMESE STYLE_CAN),월남식 소이 밀크 (두유_캔),CS,21,640,90,YEOS,24X10.1 OZ,Dry,24
52009L,COCONUT JUICE,코코넛 주스,CS,39,640,90,FOCO,24X17.6 OZ,Dry,24
52010L,SOY DRINK,소이 드링크,CS,34,640,90,VITASOY,8X6X8.45 OZ,Dry,8
52014L,CHRYSANTHEMUM TEA DRINK,국화차 드링크,CS,33,640,90,VITA,8X6X8.45 OZ,Dry,8
52016L,LEMON TEA DRINK,레몬차 드링크,CS,33,640,90,VITA,8X6X8.45 OZ,Dry,8
52020L,SOY MILK (250 ML),소이 밀크 (두유_250 ML),CS,16,160,60,YEOS,4X6X8.5 OZ,Dry,4
52022L,CHRYSANTHEMUM TEA DRINK (250 ML),국화차 드링크 (250 ML),CS,19,340,90,YEOS,4X6X8.5 OZ,Dry,4
52024L,LYCHEE DRINK (250 ML),리치 드링크 (250 ML),CS,18,340,90,YEOS,4X6X8.5 OZ,Dry,4
56104L,PANCAKE (GREEN ONION),팬케익 (파),CS,45,280,90,IMEI,18X18.5 OZ,Frz,18
56124L,ROAST PORK BUNS (4P),돼지고기 통만두 (4P),CS,76,150,30,CHEFHON,30X10 OZ,Frz,30
56125L,VEGETABLE BUNS (4P),야채 통만두 (4P),CS,76,150,30,CHEFHON,30X10 OZ,Frz,30
56132L,CHINESE TWIST CRULLER,트위스트 크럴러,CS,56,150,30,CHEFHON,20X3 PC,Frz,20
56139L,PORK SIOPAO,포크 쇼파오 (돼지고기),CS,89,330,90,MANILASIHAWAN,12X28.5 OZ,Frz,12
56140L,CHICKEN SIOPAO,치킨 쇼파오 (치킨),CS,89,330,90,MANILASIHAWAN,12X28.5 OZ,Frz,12
56152L,THIN SHNAGHAI PLAIN NOODLES,상해 유면,CS,46,150,30,TWINMARQUIS,20X16 OZ,Frz,20
56155L,UDON NOODLE,상해식 우동면,CS,34,150,30,TWINMARQUIS,12X16 OZ,Frz,12
56182L,HONG KONG PAN-FRIED NOODLES,철판 볶음 국수,CS,59,150,30,TWINMARQUIS,20X16 OZ,Frz,20
56184L,PRE BOILED NOODLE,유면,CS,32,150,30,TWINMARQUIS,12X16 OZ,Frz,12
56188L,STIR-FRIED NOODLES,스터 프라이 국수,CS,62,150,30,TWINMARQUIS,20X16 OZ,Frz,20
56189L,WONTON NOODLES (THICK),굵은 완탕 국수,CS,63,150,30,TWINMARQUIS,20X12 OZ,Frz,20
56190L,WONTON NOODLES (THIN),가는 완탕 국수,CS,62,150,30,TWINMARQUIS,20X12 OZ,Frz,20
56195L,PHO (VIETNAMESE RICE NOODLES_1#),월남 쌀국수 (1#),CS,50,150,30,SINCERE,30X1 LB,Frz,30
56196L,BANH CANH RED (VIETNAMESE RICE NOODLES),월남 쌀국수 (레드),CS,78,330,90,SINCERE,40X15 OZ,Frz,40
56197L,BANH CANH BLUE (VIETNAMESE RICE NOODLES),월남 쌀국수 (블루),CS,80,330,90,SINCERE,40X15 OZ,Frz,40
56198L,PHO (VIETNAMESE RICE NOODLES_5#),월남 쌀국수 (5#),CS,43,150,30,SINCERE,6X5 LB,Frz,6
56199L,PAD THAI (1#),태국 쌀국수 (1#),CS,0,136,30,SINCERE,30X1 LB,Frz,30
56205L,SWEET PORK LONGANISA,스윗 포크 롱가니자,CS,71,330,90,MANILASIHAWAN,20X12 OZ,Frz,20
56206L,HOT CURED LONGANISA,핫 롱가니자,CS,75,330,90,MANILASIHAWAN,20X14 OZ,Frz,20
56207L,CHICKEN LONGANISA,치킨 롱가니자,CS,88,330,90,MANILASIHAWAN,20X12 OZ,Frz,20
56208L,PORK TOCINO,포크 토치노,CS,85,330,90,MANILASIHAWAN,20X12 OZ,Frz,20
56210L,CHINESE PORK SAUSAGE,중국식 포크 쏘세지,CS,237,330,90,HARBORSAUSAGE,24X16 OZ,Frz,24
56211L,CHINESE PORK & CHICKEN SAUSAGE,중국식 포크 앤 치킨 쏘세지,CS,238,330,90,HARBORSAUSAGE,24X16 OZ,Frz,24
56218D,ORIGINAL PORK SAUSAGE,대만식 오리지널 돼지 소시지,CS,184,330,90,CHUNWEI,30X12 OZ,Frz,30
56219D,SWEET PORK SAUSAGE,대만식 스윗 돼지 소시지,CS,184,330,90,CHUNWEI,30X12 OZ,Frz,30
56220D,GARLIC PORK SAUSAGE,대만식 마늘 돼지 소시지,CS,171,330,90,CHUNWEI,30X12 OZ,Frz,30
56259L,TOFU (HOT&SPICY),매운 두부,CS,39,83,999,NATURESOY,20X8 OZ,Ref,20
56260L,TOFU (SOY SAUCE STEW),소이소스 스튜 두부,CS,43,83,999,NATURESOY,20X8 OZ,Ref,20
56261L,TOFU (CURRY FLAVORED),커리맛 두부,CS,39,83,999,NATURESOY,20X8 OZ,Ref,20
56262L,TOFU (VEGAN CHICKEN),닭고기맛 두부 (VEGAN),CS,39,83,999,NATURESOY,20X8 OZ,Ref,20
56263L,TOFU (VEGAN BEEF),소고기맛 두부 (VEGAN),CS,39,83,999,NATURESOY,20X8 OZ,Ref,20
56264L,SOY MILK(UNSWEETENED),무당 두유,CS,18,23,999,NATURESOY,6X0.5 GAL,Ref,6
56265L,SOY MILK (SWEET),스윗 두유,CS,14.6,23,999,NATURESOY,6X0.5 GAL,Ref,6
56266L,TOFU (FIRM),부침용 두부,CS,15,83,999,NATURESOY,12X1 LB,Ref,12
56267L,TOFU (SILKEN),생두부,CS,15,83,999,NATURESOY,12X1 LB,Ref,12
56268L,TOFU (SOFT),찌개용 두부,CS,16,83,999,NATURESOY,12X1 LB,Ref,12
56269L,TOFU (LARGE PACK),두부 (LARGE PACK),CS,20,53,999,NATURESOY,4X6LB,Ref,4
56270L,SOY PUFF (18~21PC),유부,CS,43,53,999,NATURESOY,18X4 OZ,Ref,18
56272L,TOFU (FIVE FLAVORED),오향 두부,CS,36,83,999,NATURESOY,20X10 OZ,Ref,20
56273L,TOFU (EXTRA FIRM),단단한 두부,CS,35,83,999,NATURESOY,20X10 OZ,Ref,20
56276L,SOY NOODLE,콩국수,CS,38,23,999,NATURESOY,20X6 OZ,Ref,20
56278L,RICE NOODLE,쌀국수,CS,32,83,999,NATURESOY,30X1 LB,Ref,30
56280L,MINI SOY PUFF,미니 유부,CS,43,83,999,NATURESOY,24X2 OZ,Ref,24
56284L,TOFU (FOR RESTAURANT),식당용 두부,CS,16,53,999,NATURESOY,4X6LB,Ref,4
56285L,TOFU (SOON),순두부,CS,20,83,999,NATURESOY,4X7.5 LB,Ref,4
56286L,SOY MILK ( HIGH FIBER),저당 두유,CS,18,83,999,NATURESOY,6X4 LB,Ref,6
56287L,SOY MILK (BLACK SESAME),검정깨 두유,CS,21,83,999,NATURESOY,6X4 LB,Ref,6
56288L,MATCHA SOY MILK,녹차 두유,CS,23,83,999,NATURESOY,6X4 LB,Ref,6
56301L,FRIED TOFU (9 OZ),튀긴 두부 (9 OZ),CS,38,83,999,NATURESOY,20X9 OZ,Ref,20
56317K,RED GINSENG EXTRACT BEVERAGE (30PC),일품 6년근 홍삼 (30PC),CS,88,640,90,JONGKEUNDANG,5X30X2.3 OZ,Dry,5
56318K,BLACK GARLIC EXTRACT BEVERAGE (30PC),일품 흑마늘 (30PC),CS,104,640,90,JONGKEUNDANG,5X30X2.3 OZ,Dry,5
56321K,PERSIAN POMEGRANATE BEVERAGE (30PC),일품 페르시아 석류 (30PC),CS,84,640,90,JONGKEUNDANG,5X30X2.3 OZ,Dry,5
56322K,KOREAN RED GINSENG PURE EXTRACT DRINK (30P),순홍삼액 순,CS,186,640,90,DONGWON,4X30X2.36 OZ,Dry,4
56323K,KOREAN RED GINSENG CONCENTRATE STICK (30P),홍삼정 데일리원,CS,234,640,90,DONGWON,6X30X0.33 OZ,Dry,6
56324K,KOREAN GINSENG LIQUID PREMIUM EXTRACT (30P),일품 6년근 홍삼 (30P),CS,81,1000,90,DONGWON,5X30X2.46 OZ,Dry,5
56328L,EGG ROLL WRAPPER,에그롤 피,CS,57,330,90,FIVESTAR,10X5 LB,Frz,10
56335L,SPRING ROLL WRAPPER,스프링롤 래퍼,CS,59,100,30,SPRINGHOME,40X25 PC,Frz,40
56336L,ROTI PARATHA (PLAIN),로티 파라타 (플레인),CS,42,100,30,SPRINGHOME,24X5 PC,Frz,24
56337L,ROTI PARATHA (ONION),로티 파라타 (양파),CS,42,100,30,SPRINGHOME,24X5 PC,Frz,24
56341L,FRESH RICE STICK,월남 쌀국수,CS,57,150,30,RAMA,30X16 OZ,Frz,30
60014L,FRIED NOODLES MI GORENG,푸라이드 누들 미고랭,CS,0,351,90,INDOMIE,30X3 OZ,Dry,30
60015L,HOT & SPICY NOODLES MI GORENG,매운 누들 미고랭,CS,0,351,90,INDOMIE,30X3 OZ,Dry,30
60016L,BBQ CHICKEN NOODLES MI GORENG,바베큐 치킨 누들 미고랭,CS,0,351,90,INDOMIE,30X3 OZ,Dry,30
60017L,SPECIAL CHICKEN NOODLES MI GORENG,스페셜 치킨 누들 미고랭,CS,0,351,90,INDOMIE,30X2.65 OZ,Dry,30
60018L,ONION CHICKEN NOODLES MI GORENG,양파 치킨 누들 미고랭,CS,0,351,90,INDOMIE,30X2.65 OZ,Dry,30
60019L,CHICKEN CURRY NOODLES MI GORENG,치킨 카레 누들 미고랭,CS,0,351,90,INDOMIE,30X2.82 OZ,Dry,30
60020L,VEGETABLE NOODLES MI GORENG,야채 누들 미고랭,CS,0,351,90,INDOMIE,30X2.65 OZ,Dry,30
60032L,SWEET & SOUR SAUCE,스윗 앤 싸워 소스 17.5 OZ,CS,0,640,90,DRAGONFLY,24X17.5 OZ,Dry,12
60092L,MINI Q MOCHI ORIGINAL,미니 큐 빙수떡 모찌,CS,0,325,90,ROYALFAMILY,24X10.58 OZ,Dry,24
60093L,MINI Q MOCHI (STRAWBERRY),미니 큐 빙수떡 모찌 (딸기),CS,0,325,90,ROYALFAMILY,24X10.58 OZ,Dry,24
60094L,MINI Q MOCHI (GREEN TEA),미니 큐 빙수떡 모찌 (녹차),CS,0,325,90,ROYALFAMILY,24X10.58 OZ,Dry,24
60095L,MINI Q MOCHI MIXED,미니 큐 빙수떡 모찌 (종합),CS,0,325,90,ROYALFAMILY,24X10.58 OZ,Dry,24
60505L,GRAPESEED OIL PLUS (2L),포도씨유 플러스 (2L),CS,0,716,90,ASSI,6X67.6 OZ,Dry,6
60506L,AVOCADO OIL PLUS,아보카도유 플러스,CS,47,690,90,ASSI,6X67.6 OZ,Dry,6
61114L,SWEET & SMOKEY PORK SAUSAGE,스윗 훈제 소세지,CS,0,351,90,YISSINE,12X12 OZ,Frz,12
61115L,SPICY SWEET & SMOKEY PORK SAUSAGE,매콤 스윗 훈제 소세지,CS,0,351,90,YISSINE,12X12 OZ,Frz,12
77006K,SHOPPING BAG (VINYL_1000P_16MICRON),쇼핑백 (비닐_1000P),CS,49,330,999,UNBRANDED,1000 PC,Dry,1000
77500K,CUSTOM CHOPSTICK (49),주문 젓가락 (49),CS,80,280,999,UNBRANDED,1800 PR,Dry,1800
77501K,CUSTOM CHOPSTICK (49+5 COLOR),주문 젓가락 (49+5 COLOR),CS,77,280,999,UNBRANDED,1800 PR,Dry,1800
77502K,CUSTOM CHOPSTICK (53),주문 젓가락 (53),CS,70,280,999,UNBRANDED,1800 PR,Dry,1800
77503K,CUSTOM CHOPSTICK (48),주문 젓가락 (48),CS,87,280,999,UNBRANDED,1800 PR,Dry,1800
80000V,NAPA (CANADA),배추 (CANADA),CS,13,23,999,UNBRANDED,45 LB,Ref,45
80001V,NAPA (USA),배추 (USA),CS,20,23,999,UNBRANDED,45 LB,Ref,45
80006V,YOUNG NAPA (USA),풋 배추(USA),CS,32,23,999,UNBRANDED,45 BUN,Ref,45
80008V,YOUNG NAPA (CANADA),풋 배추(CANADA),CS,37,23,999,UNBRANDED,45 BUN,Ref,45
80009V,SPRING NAPA (USA_BULK),봄동배추  (USA_BULK),CS,40,23,999,UNBRANDED,25 LB,Ref,25
80011V,RADISH (CANADA),닦은 무(CANADA),CS,13,23,999,UNBRANDED,45 LB,Ref,45
80016V,RADISH (USA),닦은 무(USA),CS,27,23,999,UNBRANDED,40 LB,Ref,40
80018V,RADISH (MEXICO),닦은 무(MEXICO),CS,18,70,999,UNBRANDED,40 LB,Ref,40
80021V,JEJU RADISH (KOREA),제주  무(KOREA),CS,26.5,100,999,UNBRANDED,44 LB,Ref,44
80033V,JAPANESE DAIKON (USA),일본 무,CS,20,23,999,UNBRANDED,40 LB,Ref,40
80076V,HORSERADISH (USA),호스래디시 (와사비 무),CS,25,23,999,UNBRANDED,5 LB,Ref,5
80101V,YOUNG RADISH (U.S.A),총각무(USA),CS,32,23,999,UNBRANDED,45 BUN,Ref,45
80102V,YOUNG RADISH (CANADA),총각무(CANADA),CS,45,23,999,UNBRANDED,45 BUN,Ref,45
80106V,BABY RADISH (USA),열무(USA),CS,32,23,999,UNBRANDED,45 BUN,Ref,45
80107V,BABY RADISH (CANADA),열무(CANADA),CS,37,23,999,UNBRANDED,45 BUN,Ref,45
80111V,DONGCHIMI RADISH (CANADA),동치미무(CANADA),CS,45,23,999,UNBRANDED,20 BUN,Ref,20
80113V,DONGCHIMI RADISH (USA),동치미무(USA),CS,32,23,999,UNBRANDED,20 BUN,Ref,20
80116V,RADISH LEAVES (USA),무청 (USA),CS,36,23,999,UNBRANDED,15 LB,Ref,15
80120V,[PRE]GREEN CABBAGE(CANADA),양배추,CS,20,23,999,UNBRANDED,45LB,Ref,45
80121V,[PRE]GREEN CABBAGE (USA),양배추(BOX),CS,16,23,999,UNBRANDED,50 LB,Ref,50
80122V,[PRE]GREEN CABBAGE (CANADA_BAG),양배추 (BAG),CS,12.7,23,999,UNBRANDED,50 LB,Ref,50
80136V,FLAT  CABBAGE (USA),한국 양배추(USA),CS,29,23,999,UNBRANDED,40 LB,Ref,40
80137V,FLAT (KOREAN) CABBAGE (CANADA),한국 양배추(CANADA),CS,20,23,999,UNBRANDED,40 LB,Ref,40
80151V,GREEN LEAVES LETTUCE (USA)- CA,푸른 상추,CS,32,23,999,UNBRANDED,24 BUN,Ref,24
80175V,ESCAROLE LETTUCE (USA),에스케롤,CS,23,23,999,UNBRANDED,18 BUN,Ref,18
80229V,RED FINGER HOT PEPPER (NETHERLANDS),레드 핑거 핫 고추,CS,65,23,999,UNBRANDED,6.5 LB,Ref,6.5
80231V,GREEN KOREAN PEPPER (USA),조선 고추(USA),CS,43,23,999,UNBRANDED,25 LB,Ref,25
80232V,GREEN KOREAN PEPPER (CANADA),조선 고추 (CANADA),CS,78,23,999,UNBRANDED,20 LB,Ref,20
80241V,GREEN LONG HOT PEPPER (USA),그린 풋 고추,CS,31,23,999,UNBRANDED,15 LB,Ref,15
80256V,GREEN TWIST PEPPER (USA),꽈리 고추(USA),CS,58,23,999,UNBRANDED,25 LB,Ref,25
80257V,GREEN TWIST PEPPER (CANADA),꽈리 고추 (CANADA),CS,76,23,999,UNBRANDED,20 LB,Ref,20
80268V,JALAPENO PEPPER (USA),할라피뇨 고추,CS,38,23,999,UNBRANDED,25 LB,Ref,25
80281V,CUBANELLE PEPPER(USA),큐바넬 고추,CS,23,23,999,UNBRANDED,18 LB,Ref,18
80341V,[PRE]SPANISH JUMBO ONION (USA),스패니쉬 점보 양파,CS,32,23,999,UNBRANDED,44 LB,Ref,44
80347V,YELLOW ONION (USA),노란 양파,CS,5.9,23,999,UNBRANDED,10 LB,Ref,10
80410V,KOREAN  SQUASH (USA),한국  애 호박 (USA),CS,42,23,999,UNBRANDED,20 LB,Ref,20
80416V,GREEN SQUASH (USA) FANCY,미국 호박,CS,21,23,999,UNBRANDED,25 LB,Ref,25
80419V,GRAY SQUASH (MEXICO) FANCY -GOOD,그레이 호박,CS,20,23,999,UNBRANDED,25 LB,Ref,25
80446V,PUMPKIN (MEXICO_BIN),펌킨 호박 (MEXICO_BIN),CS,450,23,999,UNBRANDED,650 LB,Ref,1
80471V,KABOCHA LARGE (MEXICO) ,가보차(CANADA) LARGE,CS,21,70,999,UNBRANDED,35 LB,Ref,35
80472V,KABOCHA (USA),가보차 (USA),CS,475,23,999,UNBRANDED,35 LB,Ref,35
80473V,KABOCHA(CANADA),가보차 (CANADA),CS,22,23,999,UNBRANDED,35 LB,Ref,35
80492V,KOREAN CUCUMBER (USA) 20 LB,한국 오이 (USA) 20 LB,CS,23,23,999,UNBRANDED,20 LB,Ref,20
80497V,KIRBY CUCUMBER (USA),피클 오이,CS,43,23,999,UNBRANDED,45 LB,Ref,45
80506V,SEEDLESS CUCUMBER (MEXICO),씨없는 오이,CS,10.3,23,999,UNBRANDED,12 PC,Ref,12
80531V,GREEN ONION (MEXICO) Sakua,파,CS,13.4,23,999,UNBRANDED,48 BUN,Ref,48
80541V,GIANT GREEN ONION (USA),대파 (USA),CS,60,70,999,UNBRANDED,30 BUN,Ref,25
80543V,GIANT GREEN ONION (USA),대파 (USA),CS,58,23,999,UNBRANDED,25 BUN,Ref,25
80556V,GARLIC (CHINA_5P),마늘 팩 (CHINA_5P),CS,69,23,999,UNBRANDED,30 LB,Ref,30
80566V,PEELED GARLIC (SPAIN_5#),깐 마늘 (SPAIN_5#),CS,88,23,999,UNBRANDED,4X5 LB,Ref,4
80568V,PEELED GARLIC (CHINA_1#),깐 마늘 (1#),CS,90,23,999,UNBRANDED,20X1 LB,Ref,20
80573V,GARLIC STEM (CANADA),마늘쫑,CS,70,23,999,UNBRANDED,22 LB,Ref,22
80574V,GARLIC STEM (MEXICO),마늘쫑,CS,63,23,999,UNBRANDED,25 LB,Ref,25
80581V,GINGER (CHINA_30#),생강(CHINA_ 30#),CS,33,23,999,UNBRANDED,30 LB,Ref,30
80584V,GINGER (BRAZIL),생강 (브라질),CS,59,23,999,UNBRANDED,30 LB,Ref,30
80591V,AMERICAN EGGPLANT (USA),미국 가지,CS,27,23,999,UNBRANDED,20 LB,Ref,20
80653V,JUMBO CARROT (MEXICO),점보 당근(MEXICO),CS,21,70,999,UNBRANDED,50 LB,Ref,50
80661V,PARSNIP (USA),파스닢,CS,31,23,999,UNBRANDED,20 LB,Ref,20
80671V,CROWN BROCCOLI (MEXICO),크라운 브로콜리,CS,24,23,999,UNBRANDED,20 LB,Ref,20
80701V,KOREAN WATERCRESS (USA),한국 미나리 (USA) 30BUN,CS,56,23,999,UNBRANDED,30 BUN,Ref,30
80706V,WATERCRESS (USA),미나리,CS,25,23,999,UNBRANDED,24 BUN,Ref,24
80716V,SPINACH (USA_CA),캘리포니아 시금치,CS,38,23,999,UNBRANDED,24 BUN,Ref,24
80731V,[PRE]CHIVE (USA),부추,CS,65,23,999,UNBRANDED,25 LB,Ref,25
80766V,GREEN SWISS CHARD (USA),푸른 근대,CS,24,23,999,UNBRANDED,12~24 BUN,Ref,24
80776V,RED SWISS CHARD (USA),빨간 근대,EA,23,23,999,UNBRANDED,12 BUN,Ref,12
80783V,PERILLA LEAVES (USA),깻잎 (USA),CS,44,23,999,UNBRANDED,50 BUN,Ref,50
80796V,RED MUSTARD (USA),붉은 갓 (USA),CS,50,23,999,UNBRANDED,50 BUN,Ref,50
80861V,CELERY ROOT (CANADA),셀러리 뿌리,CS,30,23,999,UNBRANDED,20 LB,Ref,20
80871V,CURLY PARSLEY (USA),파슬리,CS,31,23,999,UNBRANDED,60 BUN,Ref,60
80886V,ITALIAN PARSLEY (USA),이탤리언 파슬리,CS,24,23,999,UNBRANDED,60 BUN,Ref,60
80986V,PURPLE POTATO (USA),보라색 감자,CS,45,23,999,UNBRANDED,50 LB,Ref,50
81021V,SWEET POTATO-CA #1_40LB (USA),캘리포니아 고구마 #1_40 LB (USA),CS,74,23,999,UNBRANDED,40 LB,Ref,40
81022V,SWEET POTATO-CA MED_20LB (USA)-SUGAR DANDY,캘리포니아 고구마 MED_20LB 슈가댄디,CS,40,23,999,UNBRANDED,20 LB,Ref,20
81023V,SWEET POTATO-CA MED_40LB (USA),캘리포니아 고구마 MED_ 40LB_(USA),CS,64,23,999,UNBRANDED,40 LB,Ref,40
81025V,SWEET POTATO-CA MED_10LB (USA),캘리포니아 고구마 M_ 10LB (USA),CS,17,23,999,UNBRANDED,10 LB,Ref,10
81046V,SWEET POTATO (HAWAIIAN PURPLE YAM),보라색 고구마(하와이),CS,90,23,999,UNBRANDED,30 LB,Ref,30
81071V,DAIKON SPROUTS (USA),무순,CS,27,23,999,UNBRANDED,12 PC,Ref,12
81072V,ALFALFA SPROUTS (USA),알파파 순,CS,16,23,999,UNBRANDED,12X4 OZ,Ref,12
81076V,BRUSSEL SPROUTS (MEXICO),브뤼셀 순,CS,62,23,999,UNBRANDED,25 LB,Ref,25
81150V,HOKDO  KING OYSTER MUSHROOM (USA),호크도 새송이 버섯,CS,37,23,999,UNBRANDED,10X10.5 OZ,Ref,10
81170V,OYSTER MUSHROOM (USA_5#),느타리 버섯 (5#),CS,23,23,999,UNBRANDED,5 LB,Ref,5
81176V,MAITAKE MUSHROOM (USA),마이다케 버섯,CS,65,23,999,UNBRANDED,24X3.5 OZ,Ref,24
81193V,BROWN HON-SHIMEIJI MUSHROOM (USA),브라운 혼시메이지 버섯,CS,42,23,999,UNBRANDED,24X3.5 OZ,Ref,24
81200V,KING OYSTER MUSHROOM (KOREA),새송이 버섯(15x300g),CS,33,23,999,UNBRANDED,15X13.5 OZ,Ref,15
